Cultural Trends and Influences,Music Festival Attendance,attendees
Year,Meridian Music Gathering,Aethelgard Harmonic Assembly,Azure Sky Symphony
trend,volatile_rising,periodic_stable,stable_rising
1980,80015.71,103972.26,119899.07
1981,123157.8,113786.44,108560.58
1982,121567.0,119951.71,123650.17
1983,134242.41,91821.4,92161.23
1984,178012.48,81139.44,118719.05
1985,124171.18,101455.22,123580.76
1986,96604.59,137000.19,113021.9
1987,189865.46,99599.0,123059.86
1988,183698.96,80844.37,126444.39
1989,193443.48,84869.34,153906.28
1990,164588.85,96755.18,162017.7
1991,187477.6,120570.19,177027.74
1992,172530.41,111240.65,170724.28
1993,247341.9,85002.61,198345.13
1994,143498.77,86525.57,173539.94
1995,189219.36,99817.47,218618.46
1996,227321.2,113927.04,185296.06
1997,357704.89,121392.02,165133.97
1998,270034.39,78788.62,178378.27
