Retail and E-commerce,Online Sales Volume,$
Year,Luxury Consumers,Budget Shoppers,Urban Shoppers,International Customers,Rural Buyers
trend,periodic_stable,exponential_rising,exponential_falling,exponential_falling,exponential_rising
1980,5335629.1,5285551.57,2088808.64,5559221.18,2788765.01
1981,6104328.88,6221704.05,5629334.13,3132906.87,8976567.32
1982,7044432.35,6242508.46,3531754.39,2674365.12,6839004.86
1983,4314793.17,7242883.78,4364232.24,3732259.25,6783527.95
1984,3223918.01,9993795.7,3980423.94,3235110.42,2848181.68
1985,5294185.78,9790471.85,172785.47,3623941.5,11024566.62
1986,5787341.27,11174229.9,5362641.52,1155500.77,12395452.13
1987,6236579.39,9078217.3,750048.81,4125448.81,10921502.35
1988,4419383.99,11788990.42,2581383.9,4868325.85,11570219.49
1989,4654064.71,11634800.31,2573059.75,247808.65,13081521.98
