Social Media and Digital Media and Streaming,Platform Traffic,visits/month
trend,stable_falling,stable_rising,random_on_off_stable,stable_falling,volatile_rising,random_on_off_rising
Year,EchoWave,NovaStream,AetherNet,Starburst Online,Luminara,OracleFeed
1987,5066369431.52,4272686831.38,4387655264.99,7484879294.58,8993287843.97,3641367023.06
1988,4142751805.77,5158484152.05,7101903477.03,4111882911.65,6477773699.32,3814422263.51
1989,6664824777.33,6223322011.82,5000000000.0,6120250181.39,4093160781.23,5572481045.79
1990,5048497894.96,4043960095.17,3484033426.8,8704672604.3,7693773249.68,1786184492.73
1991,4615027421.74,4300345081.4,5000000000.0,6355739345.8,5580975494.57,842785437.3
1992,5660429398.8,6489543371.57,5000000000.0,7478280901.27,4338771028.3,3892126005.77
1993,5595219643.58,7271542864.85,5000000000.0,4328114475.57,8401532393.36,6077111989.2
1994,3995403193.08,7082391184.35,4327676724.83,5857791423.35,8109037600.13,4617743684.73
1995,6363482328.6,4712859495.04,2567997330.25,6257652995.14,3864880746.98,3837391815.12
1996,5411588150.91,9153344787.91,5000000000.0,9590789328.64,8299677785.86,274199999.21
1997,6961891408.22,7164213606.61,3783529849.44,6764984145.81,12949626250.47,50000000.0
1998,7709954226.77,8411925475.7,5000000000.0,6319930532.97,7793978830.59,50000000.0
1999,7462564303.3,4695201702.66,5000000000.0,7282953585.74,11509677197.78,1942165563.1
2000,5976292279.03,5794800689.33,5000000000.0,9807192265.14,12530434203.76,5410519666.99
2001,4211008022.78,8748817587.4,3310265874.5,8194857349.67,13686869513.35,6458971217.99
2002,8492035354.85,12479807962.88,4590275164.19,7162782682.12,12106906162.01,4819995081.56
2003,6403259558.3,10139998179.77,5000000000.0,5760946965.84,15611507124.36,50000000.0
2004,7952977545.92,7426526646.14,2952259065.67,8819485500.31,11852850586.15,50000000.0
2005,7157537654.6,8284565821.45,5000000000.0,5047433614.25,11384959434.47,6944034836.77
2006,8008583251.13,9276110394.09,5000000000.0,9982821840.81,10394845146.77,6931520142.06
2007,10003816232.73,11885865785.52,5000000000.0,7380714342.39,13554563641.49,7470522643.91
2008,7812491439.29,10784168676.63,5000000000.0,4522575470.49,16189740045.53,3886402536.62
2009,7885760159.67,11125205334.87,5000000000.0,8214415342.35,12196250334.89,50000000.0
2010,6731959493.03,9123318249.87,2899234368.97,10744872784.9,12549691003.68,50000000.0
