Sports and Entertainment,Streaming Views,views/month
trend,exponential_rising,stable_rising,stable_rising,volatile_falling,stable_rising
Year,EchoWave Entertainment,OracleView,StarburstTV,NovaStream Live,Luminara Play
1981,259202.64,232472.45,168922.71,141325.55,216391.58
1982,221852.49,187721.55,268167.13,294903.28,278572.97
1983,196363.35,223409.77,205310.45,414211.9,310537.27
1984,344913.81,297315.57,220557.84,373626.34,211099.53
1985,189631.45,269390.03,230723.94,225725.21,290099.37
1986,322245.49,225414.85,230979.87,51051.98,253141.22
1987,237732.54,181255.32,262393.32,17338.14,294303.15
1988,448971.18,335130.39,285969.71,238571.92,267414.79
1989,513040.34,418309.33,309987.12,105624.35,305381.15
1990,420580.4,286172.63,339317.22,186680.38,292512.02
1991,466335.16,304522.86,327826.31,194958.56,283429.89
1992,611289.82,322528.49,315199.07,56546.65,302070.64
1993,643510.07,369246.49,313374.43,49118.09,340161.11
1994,697420.45,343373.05,306581.59,151822.51,320588.51
1995,818320.88,407037.58,370507.4,2000.0,364111.58
1996,978874.57,250460.67,345588.9,12879.96,420239.16
1997,898176.27,392302.6,370689.46,76308.11,292605.32
1998,1141843.15,392590.32,392047.18,2000.0,346226.89
1999,1138911.06,378428.95,296202.87,60613.48,391286.83
2000,1337765.22,374113.84,358785.7,2000.0,394953.35
2001,1355929.25,357749.8,399992.87,2000.0,399403.29
2002,1538388.93,455624.64,442349.15,2000.0,473116.68
2003,1710456.72,407435.47,399796.35,2000.0,412409.9
2004,1783751.97,417159.26,490559.32,2000.0,348059.99
2005,2038958.11,340795.02,451062.84,22911.27,367586.48
2006,2145056.24,491330.33,449785.57,2000.0,508399.36
