Tourism and Hospitality,Loyalty Program Members,members
Year,Business Nomads,Frequent Flyers
trend,stable_falling,volatile_falling
1957,894375.51,741267.17
1958,1245962.23,465779.13
1959,940305.87,1624778.46
1960,1065566.56,687708.78
1961,1030974.93,766401.12
1962,1173448.07,587116.53
1963,1257460.36,591461.21
1964,1282874.08,166172.65
1965,1272684.87,353440.74
1966,1178234.67,493067.4
1967,1111031.97,64656.82
1968,1318823.05,867901.67
1969,1395655.24,10000.0
1970,1250554.66,10000.0
1971,1124685.16,93566.86
1972,1044272.71,725476.89
1973,1640626.69,10000.0
