Tourism and Hospitality,Loyalty Program Members,members
trend,random_on_off_stable,random_on_off_rising
Year,Global Travelers Club,Foodie Passport
1998,1093841.6,1041122.87
1999,1052717.34,968387.96
2000,1000000,1025959.12
2001,498232.36,752307.9
2002,1000000,10000.0
2003,1000000,10000.0
2004,1000000,54949.11
2005,1000000,1064908.73
2006,919507.81,1231760.52
2007,1000000,672346.55
2008,1000000,10000.0
2009,1000000,10000.0
2010,1000000,10000.0
2011,179166.84,826749.03
2012,1000000,2049488.21
2013,1000000,1736574.29
2014,952972.15,812398.34
