Tourism and Hospitality,Flight Bookings,bookings/month
trend,random_on_off_stable,random_on_off_stable,random_on_off_stable,exponential_falling,exponential_falling
Year,Regional Carriers,Global Wings,SkyHigh Airlines,EcoFly,Charter Flights
1991,182933.08,171142.33,150000,171485.87,172911.44
1992,168980.4,138096.41,82587.54,155747.58,152086.07
1993,158018.89,150000,150000,160055.52,173708.45
1994,150000,85574.9,150000,100116.77,139691.6
1995,46409.18,150000,99313.85,79007.46,109101.38
1996,150000,150000,140864.58,107373.33,51030.61
1997,150000,139555.41,163557.97,78367.69,122592.51
1998,150000,87590.58,150000,58816.02,11216.56
1999,150000,150000,90255.74,51779.48,61621.97
2000,150000,46962.4,150000,126311.97,147688.28
2001,62360.63,150000,150000,1500.0,21254.6
2002,150000,150000,150000,54806.59,97315.82
2003,150000,150000,67759.4,22582.14,38649.21
2004,138403.08,150000,150000,39948.29,84845.53
2005,134481.29,108673.01,150000,115308.33,1500.0
2006,150000,150000,133388.49,47610.52,1500.0
2007,84621.67,150000,150000,35407.83,19185.97
2008,150000,150000,150000,1500.0,79416.7
2009,150000,150000,150000,40744.26,1500.0
2010,150000,150000,1500.0,66223.2,94032.78
2011,150000,115629.95,150000,49897.13,72753.6
2012,40080.48,150000,150000,1500.0,18506.34
2013,150000,150000,150000,49041.47,1500.0
2014,150000,150000,150000,69089.3,67122.22
2015,150000,150000,150000,4028.75,26397.45
