Sports and Entertainment,TV Ratings,million viewers
trend,exponential_rising,stable_rising,random_on_off_stable,stable_falling,volatile_rising,volatile_rising
Year,AetherSports Channel,Nova Broadcast,Luminara TV,Oracle Stream,Echo Sports Network,Starburst Cable
1963,5.33,5.41,4.88,5.83,5.09,4.69
1964,5.74,5.43,5.1,5.37,6.13,6.95
1965,6.16,5.84,4.92,5.32,5.7,6.86
1966,7.09,6.14,5,5.48,6.93,7.26
1967,6.49,5.26,0.54,5.49,6.82,5.04
1968,8.72,6.18,5,5.64,7.59,7.16
1969,9.04,7.03,5,5.29,7.2,7.97
1970,9.6,6.23,5,5.86,7.26,7.06
1971,11.55,7.29,5,6.69,7.72,8.53
1972,11.87,7.22,2.58,6.58,8.79,8.44
1973,12.62,7.02,5,6.51,9.14,8.18
1974,14.59,7.87,5,6.33,10.87,10.26
1975,15.83,7.36,5,7.03,9.44,10.22
1976,17.34,8.87,5,7.22,9.96,10.37
