Social Media and Digital Media and Streaming,Average Watch Time,minutes
trend,volatile_rising,exponential_falling,random_on_off_stable,random_on_off_stable,stable_falling,random_on_off_stable,volatile_rising
Year,Mobile Users,Premium Users,Desktop Users,Heavy Users,Free Users,Casual Users,New Users
1952,26.15,29.72,31.5,32.18,28.86,31.73,21.04
1953,29.31,31.46,32.2,30.51,32.15,30,25.44
1954,30.23,27.51,30,30,32.0,5.06,30.89
1955,42.61,18.45,13.03,8.73,33.14,30,35.92
1956,35.93,14.16,30,30,30.27,30,40.36
1957,38.33,15.74,30,30,35.44,30,42.69
1958,42.95,18.54,30,30,39.04,19.97,51.95
1959,44.48,16.44,30,30,40.26,30,51.49
1960,50.81,5.6,28.76,30,40.47,30,48.43
1961,51.85,8.43,30,30,39.52,30,51.9
1962,50.77,11.82,30,3.09,40.1,30,51.26
1963,52.48,3.89,30,30,36.4,30,58.48
1964,50.76,11.61,30,30,45.3,25.63,60.38
1965,63.2,10.64,22.89,30,38.05,30,61.51
1966,59.5,5.07,30,27.99,43.13,30,59.64
1967,67.85,7.47,30,30,42.95,30,64.13
1968,67.51,3.92,30,30,45.89,30,62.03
1969,80.31,3.67,30,30,48.88,10.0,67.82
1970,84.66,6.9,24.34,30,50.99,30,68.97
1971,74.47,4.92,30,18.92,44.1,30,76.37
1972,73.69,0.81,30,30,45.6,30,80.39
1973,75.57,0.3,30,30,50.22,9.2,80.05
1974,84.53,2.09,30.85,30,50.5,30,83.6
1975,79.12,8.12,30.52,23.98,48.75,30,81.17
1976,89.17,4.55,30,30,53.66,30,90.76
1977,89.8,1.48,6.95,30,49.2,30,92.92
1978,96.55,0.3,30,30,51.3,25.96,82.7
1979,96.41,1.91,30,30,55.49,30,91.6
1980,89.79,0.3,30,7.08,57.52,30,96.21
1981,98.46,2.27,26.39,30,48.52,30,104.42
