Energy and Utilities,Electricity Demand,MWh
trend,stable_falling,volatile_falling,volatile_rising,volatile_falling,exponential_falling,periodic_stable
Year,Meridian Energy Network,Zenith Utility Services,Borealis Electric Cooperative,Silverhaven Hydro Authority,Azure Energy Distribution,Aethelgard Power Grid
1956,1001705913.39,1022759882.33,1157879108.45,946966983.33,935239906.17,1013271630.08
1957,993800486.47,977100225.67,1182304687.9,888277894.68,1002509842.67,1223573325.84
1958,1017644904.64,929337384.0,980611193.22,843470684.27,807629297.63,1152865717.06
1959,995512604.29,792329157.88,1290729695.18,864956559.14,781990414.84,812687116.62
1960,1117938650.73,908280802.97,1319924242.99,642562027.7,735288216.72,744011238.24
1961,1131559089.57,700164798.23,1367153460.9,746823060.64,561480380.66,1016987903.85
1962,1140107605.43,574828221.02,1484457160.52,691791827.68,571026748.03,1237561738.21
1963,1112774963.62,500533608.85,1523916472.58,523847779.95,467086749.65,1156705872.31
1964,1228056569.99,666563321.81,1729857570.69,574202559.38,474871354.27,838658017.3
1965,1227813888.75,559128128.31,1592481463.48,495775991.88,366169176.08,782864888.91
1966,1304499064.45,425670917.73,1914968633.64,401703633.03,291496921.45,995031745.5
1967,1314334275.24,429706974.35,1977831450.58,291019432.6,340168462.23,1215391908.99
1968,1476781983.54,289398173.88,1990990546.77,244358342.73,224854055.36,1127415326.46
1969,1405109694.4,200553480.83,2058650494.08,150469183.48,264249266.49,842770646.05
1970,1394933731.32,212661253.67,2067496770.6,15292640.42,250262126.82,794339170.88
1971,1425466083.96,63194742.78,2171868992.99,75170935.26,144540469.59,1022492358.65
1972,1565362017.23,62987614.13,2295523636.75,10000000.0,204130989.32,1255121507.47
1973,1491603718.46,10000000.0,2346474871.97,17888208.55,229844080.79,1149981759.35
1974,1537754075.4,10000000.0,2486377944.82,10000000.0,143310894.55,862951978.23
1975,1667488964.08,10000000.0,2506184983.67,10000000.0,100640779.36,744888890.43
1976,1630374328.74,10000000.0,2646255399.01,10000000.0,146276272.12,956890623.45
1977,1620087264.42,10000000.0,2690534675.53,10000000.0,106677966.84,1203879874.75
1978,1625773100.17,10000000.0,2763289641.64,10000000.0,106582875.78,1130975920.86
1979,1694771742.57,10000000.0,2957808782.32,10000000.0,95361801.1,955235680.3
