Retail and E-commerce,Online Sales Volume,$
trend,volatile_rising,volatile_falling,periodic_stable,periodic_stable,periodic_stable
Year,Subscription Members,International Customers,Rural Buyers,Millennials,Urban Shoppers
1983,6527489.96,198615.17,5282999.95,5617029.02,5604494.5
1984,6105961.49,619903.39,6014783.84,6801403.44,6879027.52
1985,7308273.23,4358777.51,6697867.9,5744746.18,5299871.31
1986,7765063.95,3776222.16,4304886.78,3237459.77,3713514.68
1987,7246638.97,2589432.87,3065310.68,3857117.36,4585142.25
1988,7074039.1,50000.0,5081935.18,5288913.84,4980946.89
1989,9339239.47,3647410.38,6327547.88,6762129.24,6311122.53
1990,7902950.41,2695353.61,5665291.93,4671052.79,5203980.55
1991,8935581.32,691282.67,4541642.29,3921647.7,4012844.41
1992,10885425.85,1868695.84,3772906.58,4093029.05,3181907.62
1993,10416938.79,4414343.06,3919381.32,4276574.21,5472775.56
1994,11467753.65,5032013.24,5838058.76,7485285.99,5249536.79
1995,10301123.32,2638208.27,5477194.03,5804716.33,5999830.48
1996,12128984.05,1084427.08,4378804.5,4673616.1,3847877.23
1997,11736523.84,2220447.12,4149672.15,3758835.19,2650767.9
1998,9697759.24,1064330.7,5771592.16,3883232.77,5468466.75
1999,8848398.15,245430.24,6239375.27,6318488.49,6069860.62
2000,12323765.0,50000.0,6869031.03,6223855.46,5897031.91
2001,12987973.18,50000.0,4077942.18,4094348.34,4225376.64
2002,14095948.95,520685.64,3326661.84,3630447.63,3074049.4
2003,11079184.7,365924.63,5940167.29,4736570.83,3947222.95
2004,12131369.94,50000.0,7340046.9,6625772.06,5906775.95
2005,10793631.09,50000.0,6054619.91,5735591.81,5428448.81
