Science and Engineering,Research Grants Awarded,$
trend,periodic_stable,exponential_falling,exponential_falling,periodic_stable
Year,Aether University,Nova Institute,Starburst College,Luminara Academy
1973,1893344.26,2141756.47,1796818.08,1927370.63
1974,2799125.17,1980388.52,1517254.05,2353540.4
1975,1898708.81,1663240.38,1771584.1,2386745.21
1976,1913614.95,1250104.93,1629513.01,1776111.43
1977,1528072.58,827177.82,1868647.72,1224616.32
1978,2164462.64,1409107.63,1200076.15,2118828.97
1979,2381649.05,1073489.67,1398450.33,2537806.72
1980,2589771.05,703371.35,945577.91,2435428.23
1981,1523272.29,818949.35,942344.62,1573666.86
1982,1462512.23,832730.91,1293522.96,1643741.77
1983,2211034.48,560473.43,694759.22,1921466.55
1984,2209023.06,757279.2,84344.1,2275207.58
1985,2546332.6,39501.05,964225.64,2149634.47
1986,1667793.54,297508.08,970676.72,1883758.47
