Business and Finance,Interest Rate,%
Year,Stellar Futures Market,Meridian Capital Market,Zenith Stock Exchange,Borealis Investment Council,Aethelgard Financial Exchange,Silverhaven Reserve Bank
trend,periodic_stable,exponential_falling,stable_rising,volatile_rising,periodic_stable,stable_falling
1960,3.47,3.46,3.41,4.3,3.51,3.35
1961,4.25,3.12,3.84,4.11,4.32,3.77
1962,4.18,2.76,3.91,2.66,4.17,3.88
1963,2.93,2.43,4.04,4.69,2.96,3.88
1964,2.63,2.61,3.94,4.78,2.64,4.35
1965,3.46,2.4,4.26,5.02,3.42,4.0
1966,4.45,2.24,4.16,5.26,4.45,4.2
1967,4.05,1.83,4.66,5.53,4.02,4.08
1968,2.91,1.62,5.03,5.52,2.95,4.48
1969,2.67,1.66,4.7,5.83,2.52,4.36
1970,3.61,1.24,5.7,6.11,3.48,4.45
1971,4.29,1.06,5.36,6.46,4.24,4.74
1972,3.98,0.69,5.36,6.35,4.06,4.91
1973,3.0,0.49,5.85,7.48,2.9,4.94
