Energy and Utilities,Waste Recycled,tons
trend,stable_rising,volatile_falling,volatile_falling,exponential_falling,exponential_falling,exponential_rising
Year,Azure Coast Environmental,Stellar Expanse Resource Recovery,Aethelgard City Waste Services,Zenith Metropolis Waste Management,Borealis Township Cleanup,Meridian Territory Sanitation
1973,53023.03,48333.34,42811.23,53337.86,46711.91,51603.47
1974,44869.33,60670.55,50196.99,49111.33,50801.55,56204.7
1975,48708.2,49124.84,37779.35,48006.14,45253.29,60825.96
1976,57734.53,38260.62,36344.14,45536.6,40981.58,66781.94
1977,62588.93,27894.65,44502.5,44245.37,31339.49,65936.72
1978,62032.69,37683.33,43990.74,32214.33,26208.75,82987.1
1979,60856.83,29458.4,41986.46,23016.35,28793.73,93907.72
1980,68427.38,27617.11,32837.0,24594.52,26978.29,104171.19
1981,69308.04,31689.5,27724.79,19450.86,20410.09,95403.7
1982,76635.05,21926.93,19339.86,15482.07,17613.28,114833.01
1983,76236.86,28745.85,18527.8,19238.72,19063.46,125034.35
1984,64897.43,13924.04,5864.26,14919.98,12076.37,146811.58
1985,88080.39,13153.82,19341.76,12462.3,5460.14,158499.73
1986,84857.26,6896.74,4614.58,17524.33,13058.1,162932.0
1987,79504.68,25240.04,4923.51,14682.52,15972.67,199006.23
1988,81012.36,500.0,7265.84,10357.6,12209.04,214985.72
1989,89726.89,500.0,5608.19,10882.26,7527.4,227492.22
1990,90687.19,500.0,2386.21,5318.4,3518.28,254553.12
1991,99482.79,500.0,1707.51,6023.08,9775.05,282200.54
1992,99684.35,500.0,500.0,14959.15,11299.96,310537.64
1993,88977.5,500.0,500.0,8105.94,1330.63,333207.57
1994,105213.04,500.0,500.0,1577.35,2142.88,369864.84
1995,104815.22,500.0,500.0,5421.31,1958.4,405805.82
1996,105012.32,500.0,500.0,1623.46,5276.26,450211.01
