Cultural Trends and Influences,Art Gallery Visitors,visitors
Year,Meridian Art Collective,Aura Fine Arts,Ironwood Gallery,Zenith Sculpture Garden,Stellar Exhibit Hall
trend,exponential_falling,volatile_rising,volatile_falling,volatile_falling,exponential_rising
1978,220133.99,311830.85,259210.82,337954.66,319382.14
1979,217383.02,319685.84,289845.78,263956.84,342709.35
1980,168114.43,301748.65,228649.0,345592.49,374526.43
1981,149315.95,331066.48,314501.86,217552.52,420728.2
1982,124396.0,413405.6,219755.78,141281.63,458479.98
1983,224159.96,378624.25,295357.2,318318.23,486807.93
1984,150815.28,426474.48,142314.15,225547.86,546710.32
1985,159368.8,551273.18,237843.4,165958.33,518377.67
1986,119694.7,520586.75,133334.33,128633.08,585715.11
1987,94208.47,697940.98,47570.91,3000.0,696582.39
1988,159042.2,600171.36,165335.82,75498.11,785074.94
1989,155587.66,573372.31,136677.77,92924.62,831392.01
1990,138714.54,616411.57,82758.84,63784.33,952272.99
1991,46755.4,611709.51,124103.11,143246.87,1034588.38
1992,72933.32,588454.68,10055.45,197419.93,1106400.94
1993,104593.87,722426.86,3000.0,30041.84,1208114.18
1994,98494.22,958054.92,19029.52,3000.0,1462387.93
1995,3000.0,691269.66,3000.0,3000.0,1522837.64
1996,68969.66,669947.41,98288.47,3000.0,1654294.08
1997,18144.44,635682.21,53669.9,3000.0,1852500.9
