Transportation and Logistics,Vehicle Maintenance Cost,$/month
Year,Diesel Fleets,Railway Cars,Autonomous Drones,Cold Storage Vans,Electric Trucks,Heavy Machinery,Aircraft Engines
trend,stable_falling,stable_rising,exponential_falling,stable_falling,periodic_stable,stable_rising,stable_falling
1977,1607.19,1685.95,1665.84,1571.21,1513.55,1625.25,1174.94
1978,1420.81,1557.02,499.57,1657.28,1943.47,1718.56,1959.46
1979,1478.25,1327.54,1110.46,1729.3,1652.89,1786.21,1784.19
1980,1713.13,1452.69,1388.59,1617.99,1144.83,1672.08,1837.47
1981,1412.24,1803.96,1031.67,1239.8,1215.06,1839.51,1887.98
1982,1627.48,1797.66,888.53,1647.89,1556.11,1777.99,1711.32
1983,1638.22,1970.07,783.32,1726.97,1800.67,1648.94,1670.81
1984,1786.53,1800.76,1164.53,1672.82,1685.06,1933.62,2051.99
1985,1677.17,2279.28,816.29,1705.17,1317.38,2056.52,1757.15
