Retail and E-commerce,Loyalty Program Growth,users
trend,stable_falling,random_on_off_rising,exponential_falling,volatile_falling,exponential_rising,random_on_off_stable,exponential_rising
Year,Student Discounts,Corporate Partnerships,Family Plans,SuperSaver Club,Elite Members,Gift Card Users,Flash Sale Subscribers
1994,299844.6,397559.3,541284.13,506737.96,500812.71,479909.65,629265.56
1995,468465.49,524321.84,460720.28,547537.27,288117.86,351201.37,450032.31
1996,614356.37,552519.48,354538.8,443457.96,571461.81,308019.93,549911.12
1997,549657.05,283060.79,250041.29,441923.05,807901.13,500000,899499.48
1998,612834.44,5000.0,356465.53,545184.54,921856.49,372203.6,865451.37
1999,489194.49,5000.0,273042.62,634297.79,731625.13,500000,917717.77
2000,426882.24,5000.0,5000.0,397203.26,825541.81,500000,998731.2
2001,693172.18,5000.0,259639.61,494438.12,961450.02,500000,986562.41
2002,799549.18,536515.0,118956.94,237567.5,1052986.99,500000,1191402.51
2003,883509.14,558057.35,355497.39,397777.45,1256623.91,414527.93,1130682.29
2004,621360.86,337172.81,182101.76,369345.53,1336921.81,500000,1250212.43
2005,552352.37,5000.0,267457.88,466392.65,1539036.46,500000,1357076.66
2006,581156.6,5000.0,173429.22,261742.02,1662281.36,500000,1447850.67
2007,623305.9,406149.87,46043.37,346184.86,1722321.1,500000,1710014.69
2008,679838.14,699314.61,5000.0,151760.53,2072895.21,410834.57,1902051.3
2009,777862.06,868551.73,99624.48,5000.0,2245566.05,500000,2146656.34
2010,806719.19,181018.21,412487.26,173042.51,2280215.46,30779.51,2299005.42
2011,852474.53,5000.0,5000.0,5000.0,2643970.78,500000,2536794.78
2012,689942.98,5000.0,5000.0,5000.0,2753541.61,500000,2793496.41
2013,867832.83,568459.93,186846.89,196848.41,2934734.63,554265.35,2851326.08
2014,665289.85,1023272.2,23495.72,5000.0,3365498.78,500000,3384294.34
2015,672799.76,1091236.66,248091.28,7785.06,3512126.15,124513.91,3743975.21
2016,802765.97,5000.0,5000.0,5000.0,4142548.19,500000,4017917.7
2017,999098.71,435665.19,116447.35,5000.0,4699125.83,500000,4540858.03
2018,1080487.19,891708.77,5000.0,5000.0,4936531.16,500000,5006881.64
2019,599359.87,1024943.01,290757.87,5000.0,5363867.84,486891.48,5522776.15
2020,746568.82,1213159.04,189105.53,5000.0,5873458.07,500000,5951323.8
2021,717346.51,1081411.21,290985.96,5000.0,6640436.81,500000,6624834.91
2022,900483.69,995977.29,33187.62,5000.0,7222586.22,500000,7143324.6
