Real Estate and Housing Market,Rental Yield,%
Year,Green Valley Homes,Willow Creek Estates,Ironpeak Residences,Crystal Cove Villas,Skyline Towers
trend,stable_rising,exponential_rising,volatile_falling,exponential_falling,stable_rising
1951,5.81,5.73,5.44,6.11,6.24
1952,6.11,6.15,7.12,4.98,6.19
1953,6.24,6.92,6.41,5.36,6.51
1954,6.95,7.98,5.24,3.99,6.89
1955,7.3,9.0,3.81,3.94,7.22
1956,7.2,9.11,3.44,3.79,7.68
1957,7.72,11.07,4.15,2.79,7.79
1958,8.21,11.05,4.17,3.29,8.07
1959,8.04,12.87,3.2,2.07,8.35
1960,9.09,14.08,2.21,2.51,8.34
1961,9.13,15.94,2.14,2.31,8.9
1962,8.98,17.62,2.55,1.94,9.68
1963,9.54,18.09,2.06,1.4,9.89
1964,10.23,20.11,1.64,1.33,10.11
1965,10.2,22.94,1.32,1.31,10.16
