Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,stable_rising,stable_rising,periodic_stable
Year,Home Essentials,Tech Gadget Hubs,Outlet Centers
1960,23933.12,28200.14,18583.27
1961,22822.29,21053.65,26708.46
1962,23894.12,26204.75,24087.8
1963,21336.31,18625.26,17564.27
1964,20575.82,24957.06,15486.87
1965,24383.42,24771.24,22112.95
1966,30802.67,23883.33,25375.6
1967,23113.2,27233.62,21059.29
1968,29247.54,23141.79,15061.5
1969,25231.23,33722.46,15326.33
1970,33517.79,34279.64,21705.17
1971,33354.38,36415.11,29673.36
1972,29830.11,30480.7,22205.86
1973,32565.18,37133.25,15833.35
1974,32612.74,36874.19,17541.61
1975,35688.25,36626.11,18424.97
1976,34808.61,35861.26,25448.74
1977,36845.0,33358.22,25998.74
1978,30786.5,43175.76,16824.74
