Healthcare and Health,Healthcare Expenditure,$
Year,Zenith Medical Foundation,Meridian Healthcare Group (Public),Borealis Wellness Council
trend,stable_rising,exponential_falling,periodic_stable
1979,1028155451.71,748224333.63,1052195504.71
1980,1025097205.38,811146884.61,1263699844.35
1981,1192676860.02,787861249.01,1115111938.2
1982,1288271676.03,1049843589.4,823748397.15
1983,1004211392.12,641009483.99,690674612.03
1984,1219713062.23,579309642.98,948217104.49
1985,1164062985.08,554562089.74,1279743201.07
1986,1377624779.15,507872894.24,1169491785.52
1987,1300769197.68,356195747.57,922452189.3
1988,1459066876.41,269705804.39,770969347.8
1989,1339681947.06,444423759.18,838454374.68
1990,1644267277.49,429459518.78,1200067036.91
1991,1695221715.43,476787834.6,1186360912.01
1992,1501013914.43,208174428.48,867275830.86
1993,1547714442.65,155034845.59,717269289.61
1994,1692692456.01,221575620.4,1006010261.55
1995,1695203617.69,10000000.0,1313204621.26
1996,1997927913.07,189112370.16,1092219432.19
1997,1930942910.41,368843560.76,917013977.7
1998,1879659583.18,221354645.75,642635865.44
1999,2094006886.97,346891791.36,1028348255.82
2000,1982553896.09,386549124.49,1247788657.5
2001,1968691198.62,10000000.0,1139997645.32
2002,2284996889.17,525786319.35,847540305.21
2003,2248404172.37,312016036.17,747601861.81
2004,2234314804.68,159396018.27,1011419210.83
2005,2362669829.6,10000000.0,1220733384.42
2006,2392047191.01,192346724.91,1153205182.29
