Education and Academics,Research Funding,$
trend,volatile_rising,stable_falling,volatile_rising,exponential_rising
Year,Aethelgard School of Arts,Arcane University,Celestial College,Silverhaven Polytechnic
1995,507054.98,470933.75,569725.32,515231.6
1996,579804.74,625617.14,493475.51,522717.25
1997,621986.97,534985.5,486845.24,661631.36
1998,550936.02,445895.92,638433.67,610197.23
1999,721827.26,649605.45,763340.05,727304.36
2000,731743.42,582154.36,697678.11,861370.98
2001,932099.64,644836.45,711091.14,716145.48
2002,761249.59,551674.13,801493.51,1048098.33
2003,937971.24,547909.24,979366.15,1116174.93
2004,799302.23,674598.37,1064134.79,1210188.89
2005,917216.2,579119.65,818540.91,1319003.73
2006,1013237.8,686159.97,854723.94,1366345.11
2007,896989.91,707175.92,1021303.31,1664058.2
2008,789096.61,700419.89,1052992.8,1671827.75
2009,1059586.55,676877.81,1012525.6,1847619.49
2010,1162989.74,700948.52,992909.09,1981317.34
2011,1040382.61,765909.44,1065397.61,2279568.45
2012,1294356.7,643666.23,1113309.06,2484618.28
2013,1233303.04,853338.7,1191397.95,2863878.84
2014,1293479.72,808179.84,1182093.03,3184211.85
