Energy and Utilities,Renewable Energy Production,MWh
trend,random_on_off_stable,stable_rising,random_on_off_stable,volatile_rising,periodic_stable
Year,Windwhisper Turbine Park,Stellar Wind Array,GeoThermal Bloom Plant,Riverbend Hydro Station,Azure Tide Energy
1974,101032657.99,86206235.84,101520477.09,114219223.85,96063629.67
1975,131994110.76,93924294.64,109063727.24,72422538.07,111560885.6
1976,84147902.27,120176522.31,91556943.19,123924351.47,116562640.73
1977,100000000.0,103654820.1,100000000.0,142141033.71,85234292.53
1978,97340248.31,151877667.98,5830125.66,90491967.3,71145803.79
1979,100000000.0,107724483.35,100000000.0,138302796.86,112190940.33
1980,100000000.0,106785890.57,100000000.0,137240214.69,120003213.1
1981,100000000.0,113401262.15,100000000.0,135157665.76,110895357.47
1982,100000000.0,129979948.6,26832897.05,172960447.49,83061340.29
1983,86861244.96,123501903.14,100000000.0,189602114.46,83549463.43
1984,100000000.0,164676307.16,100000000.0,151715861.58,80457854.6
1985,18363172.24,168860240.81,100000000.0,190256546.41,121352005.2
1986,100000000.0,147725628.8,100000000.0,218374009.66,106383146.94
1987,100000000.0,166342910.65,100000000.0,185024985.69,93974552.05
1988,100000000.0,157305928.37,100000000.0,207731699.57,74023823.42
1989,108111314.9,180448461.14,1000000.0,207230500.43,103289449.02
1990,100000000.0,203581083.71,100000000.0,231137990.22,114883631.61
1991,39823395.75,205441714.34,100000000.0,242755767.26,111785233.56
1992,100000000.0,161328424.28,100000000.0,206243979.9,91853386.0
1993,100000000.0,192518942.35,21761096.59,263963941.81,72481847.15
1994,100000000.0,180622432.24,100000000.0,305126635.06,104659465.03
1995,115957125.21,174521854.48,100000000.0,261969273.48,126904088.27
1996,95863545.5,209953971.07,95674404.06,269355654.33,115142757.18
