Tourism and Hospitality,Flight Bookings,bookings/month
Year,Charter Flights,EcoFly,Business Class,Regional Carriers,Last-Minute Deals,SkyHigh Airlines,Global Wings
trend,stable_rising,volatile_rising,exponential_falling,periodic_stable,periodic_stable,periodic_stable,stable_rising
1953,274504.58,107859.07,237439.19,158271.09,143466.48,137149.35,129548.48
1954,139871.22,1500.0,129346.11,171361.12,204881.3,158260.49,101555.75
1955,198272.55,258971.34,111563.47,180051.54,178329.85,198443.55,162699.48
1956,131390.04,138292.99,201620.9,116756.36,145353.72,114000.62,169409.06
1957,213486.82,150079.71,161728.72,92622.9,81290.55,122475.91,160925.03
1958,157551.71,100465.44,165708.72,120258.59,159460.83,107401.2,271640.48
1959,251406.78,1500.0,64410.66,213695.97,169481.74,207569.97,199345.04
1960,213152.71,98858.69,1500.0,193601.49,197584.91,161755.92,167479.3
1961,171466.36,519056.06,3308.7,148582.1,145409.67,175058.01,242509.77
1962,241583.31,263693.56,183879.09,145806.4,84068.38,110860.69,146711.01
1963,295819.08,250637.23,80889.82,165990.39,124017.11,155185.21,278293.13
1964,234687.39,444026.57,39305.5,182251.92,157603.24,184047.31,261040.64
1965,213036.39,277024.12,184976.83,181425.11,190960.35,210542.43,312870.92
1966,223434.69,322233.79,1500.0,115908.69,112163.44,145830.8,289651.5
1967,238890.45,470637.5,1500.0,87899.94,118160.57,125908.54,232535.58
