Retail and E-commerce,In-Store Foot Traffic,visitors/day
Year,MegaMall Chain,Home Essentials,Neighborhood Stores,Tech Gadget Hubs,Outlet Centers
trend,stable_falling,exponential_falling,volatile_falling,volatile_falling,exponential_rising
1998,24419.58,30064.31,22920.1,21312.17,8815.17
1999,24761.97,13499.22,26455.43,35164.15,14959.38
2000,16458.83,17063.61,30735.06,14666.69,23460.93
2001,23679.78,12709.79,200.0,5777.36,28413.15
2002,28790.14,11993.92,29823.05,10097.03,31369.64
2003,26267.67,9167.39,27022.48,17047.87,35588.62
2004,25814.42,2058.35,8245.27,18062.65,42256.06
2005,23174.26,9877.34,17467.75,1290.09,46131.45
2006,27276.01,6540.27,3263.24,3766.37,49428.52
2007,23571.7,8247.54,11539.4,12711.89,48894.41
2008,26372.85,6068.96,200.0,6809.24,54522.02
2009,25823.62,1411.23,10314.9,200.0,59703.76
2010,30336.25,9905.36,1798.33,3551.66,66922.34
2011,27264.44,5259.01,5176.64,200.0,67288.32
2012,35628.55,821.11,200.0,9774.86,76886.08
2013,31325.19,16266.09,6399.43,5102.01,70561.93
2014,29930.65,11711.42,200.0,200.0,90612.78
2015,33457.49,200.0,200.0,200.0,100584.32
2016,31832.0,200.0,200.0,200.0,114396.2
2017,35472.74,10401.67,2924.82,14604.45,115961.39
