Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,stable_falling,stable_rising
Year,NovaStream,EchoWave
1979,221440541.24,150878870.82
1980,115876815.08,195972148.89
1981,221920502.08,206628447.62
1982,198445173.28,227921663.8
1983,284813484.75,189550577.66
1984,201220240.52,325964052.25
1985,234579611.47,374661360.13
1986,235939177.35,336272695.63
1987,247111142.64,228053065.59
1988,257784844.23,323471367.19
1989,213221461.88,290046499.54
1990,247690936.2,317332711.96
1991,280313352.33,377050364.07
1992,374057472.03,317371872.31
1993,312755885.75,344022890.22
1994,325832646.68,326472797.75
1995,374122504.89,313553552.35
1996,291210821.12,408202027.19
1997,290514176.67,318858219.76
1998,274694993.4,433818492.53
1999,237428129.09,472705134.88
2000,371317982.11,331152178.79
2001,462874000.23,506533563.52
2002,328441544.39,366670296.73
2003,315769290.55,438466038.99
