Education and Academics,Graduation Rate,%
trend,volatile_falling,stable_rising,exponential_falling,periodic_stable,volatile_rising
Year,Arcane University,Meridian Academy,Aethelgard School of Arts,Celestial College,Borealis Graduate School
1997,93.96,91.06,91.2,91.64,82.83
1998,92.21,94.46,74.95,100,100
1999,75.78,100,77.51,100,100
2000,86.66,99.65,67.68,77.14,100
2001,69.85,100,65.01,68.09,100
2002,52.59,100,55.39,91.5,100
2003,72.39,100,41.75,100,100
2004,51.96,100,47.31,100,100
2005,43.61,100,33.99,79.29,100
2006,40.76,100,36.07,67.14,100
2007,45.05,100,31.31,92.21,100
2008,22.9,100,28.65,100,100
2009,28.2,100,25.67,100,100
2010,18.42,100,27.17,77.79,100
2011,15.52,100,26.55,71.19,100
2012,3.38,100,20.79,90.88,100
2013,3.74,100,9.2,100,100
2014,0.9,100,11.63,100,100
2015,0.9,100,19.19,77.33,100
2016,0.9,100,9.61,67.28,100
2017,0.9,100,11.33,89.4,100
2018,0.9,100,6.67,100,100
2019,0.9,100,9.12,100,100
2020,0.9,100,5.82,76.68,100
2021,0.9,100,3.5,67.97,100
2022,0.9,100,2.32,89.15,100
