Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,exponential_rising,volatile_rising,volatile_rising,stable_falling,exponential_falling
Year,GeoHeat Commodity,Zephyr Gas Index,TerraFuel Exchange,Lumina Energy Market,Solara Power Futures
1982,1.86,2.38,2.04,2.07,1.98
1983,2.36,2.12,2.12,1.95,1.87
1984,1.89,1.96,2.55,2.17,1.8
1985,2.47,2.03,2.52,2.47,1.53
1986,2.81,2.65,2.73,2.28,1.02
1987,3.07,3.38,2.92,2.21,0.72
1988,3.31,2.25,3.14,2.33,1.08
1989,3.95,3.43,3.45,2.43,1.19
1990,3.86,3.65,2.99,2.42,0.67
1991,4.69,2.5,3.36,2.53,1.06
1992,5.28,3.06,3.51,2.76,0.39
1993,5.44,4.1,3.5,2.7,0.53
1994,6.58,3.99,3.81,2.77,0.63
1995,6.52,4.18,4.58,2.7,0.28
1996,7.51,4.42,4.38,2.67,0.24
1997,8.21,4.53,4.22,2.76,0.1
1998,9.6,4.55,5.03,2.84,0.44
1999,10.24,4.36,4.66,2.99,0.19
2000,10.87,5.37,4.87,3.12,0.16
2001,12.39,4.57,4.76,3.01,0.55
2002,13.36,5.29,4.89,3.22,0.4
