Transportation and Logistics,Warehouse Utilization,%
trend,stable_falling,exponential_falling,periodic_stable,exponential_falling,volatile_falling,exponential_rising
Year,Seasonal Facilities,Automated Hubs,Perishable Goods,Bonded Storage,Urban Micro-Warehouses,Hazardous Material
1995,79.92,100,85.4,90.37,100,78.69
1996,84.35,68.12,100,76.68,94.54,97.08
1997,100,70.42,93.76,55.49,61.88,100
1998,91.0,74.46,77.13,71.65,69.72,100
1999,90.66,54.48,63.85,55.36,64.6,100
2000,88.64,59.33,83.2,47.99,70.11,100
2001,100,55.59,100,49.06,52.74,100
2002,100,56.58,94.2,36.11,62.97,100
2003,100,51.6,69.73,39.87,46.92,100
2004,100,25.6,68.81,31.45,52.57,100
2005,100,12.64,86.75,25.84,36.11,100
2006,100,37.93,100,24.71,14.51,100
2007,100,25.25,100,8.13,22.23,100
2008,100,23.4,76.97,0.85,37.98,100
2009,100,9.19,62.02,25.09,9.05,100
2010,100,35.19,88.34,10.64,11.69,100
2011,100,19.73,100,21.87,15.28,100
2012,100,3.62,96.63,17.63,19.1,100
2013,100,17.49,73.59,29.29,0.85,100
2014,100,4.57,61.51,15.46,0.85,100
2015,100,5.9,82.53,5.24,0.85,100
2016,100,10.47,100,4.74,0.85,100
2017,100,0.85,99.4,15.45,0.85,100
2018,100,8.8,73.03,7.13,0.85,100
2019,100,12.89,57.88,10.96,0.85,100
2020,100,0.85,86.39,0.85,0.85,100
2021,100,0.85,100,3.39,0.85,100
2022,100,5.86,94.65,0.85,0.85,100
2023,100,0.85,71.75,6.75,0.85,100
2024,100,1.2,65.04,5.66,0.85,100
