Science and Engineering,Technology Adoption Rate,%
trend,exponential_falling,exponential_rising,periodic_stable,periodic_stable,stable_falling
Year,Families, Students,Working Professionals,Elderly Population,Young Adults
1953,19.49,22.13,20.06,20.32,19.4
1954,21.06,20.56,24.95,25.76,21.08
1955,20.23,23.41,23.09,22.83,20.71
1956,19.46,24.69,16.57,16.71,21.7
1957,13.91,28.49,14.35,15.83,22.78
1958,11.85,31.53,20.62,21.95,22.52
1959,10.51,36.12,24.34,24.22,23.47
1960,13.04,38.49,23.91,24.11,27.19
1961,8.59,42.84,17.04,16.78,25.26
1962,6.43,44.51,14.99,16.33,28.36
1963,5.8,52.13,20.65,19.93,23.3
1964,6.12,57.65,23.78,24.94,25.38
1965,3.89,62.16,21.71,22.24,27.33
1966,6.83,75.11,17.84,16.37,27.41
1967,0.87,74.52,14.74,16.23,27.38
1968,1.04,84.59,20.05,20.47,28.07
1969,6.48,90.64,23.92,25.09,28.77
1970,3.4,100,22.98,23.13,28.09
1971,3.49,100,17.76,16.96,30.42
1972,2.01,100,13.78,14.61,29.4
1973,1.46,100,17.66,20.51,31.79
