Food and Beverage Industry,Restaurant Sales,$
trend,exponential_rising,stable_rising,stable_rising,periodic_stable,exponential_falling
Year,Sky High Cafe,Crimson Plate,The Rusty Kettle,The Golden Spoon,Emerald Diner
1985,88735993.05,99300532.57,103664891.61,102014958.01,123640743.43
1986,111741134.23,105029106.02,114720307.84,100629996.29,77862988.18
1987,144238699.79,133459709.62,108924608.84,103333535.45,91300643.48
1988,137601653.07,128435445.39,111178291.55,109310108.77,42466004.36
1989,134559834.1,122008460.22,123274229.02,101477626.27,64243694.7
1990,168904449.32,111473087.86,118024815.33,97285345.42,83906966.97
1991,155209828.56,137342213.41,118186132.91,100484982.75,53374114.59
1992,210610178.12,142572697.02,135701198.42,99581453.52,23932552.85
1993,239787245.96,155167123.24,126594460.98,104246281.88,14239992.82
1994,232661933.15,147788186.61,165000040.0,99397049.42,31320358.95
1995,265588983.76,150461357.57,165995510.65,102841258.05,48494366.48
1996,275880328.74,165898476.83,152555950.68,94745016.56,41320059.26
1997,322803494.96,164971856.62,159801975.64,97760612.76,34840154.67
1998,331848680.78,166288633.73,157631805.4,91676106.28,22261572.33
1999,359603452.93,168494250.11,173534388.76,98561493.97,24707168.25
2000,415998733.61,166557389.53,179756788.18,97043973.21,43302870.42
2001,471465611.06,176469872.0,181391536.66,103196811.69,1000000.0
2002,507261577.61,174479813.32,176323368.77,99822852.04,11743465.32
2003,564965617.58,199290879.36,196911887.96,92048219.21,25722213.59
2004,603267583.88,197241822.75,192231134.39,100503424.89,21192198.23
2005,655959487.38,184206358.85,216875370.44,102165496.11,1000000.0
2006,735909703.68,201406806.27,200006871.16,97077577.85,13717006.42
2007,798586259.51,214787962.07,206963632.29,102767941.19,10104743.75
2008,879053789.77,205957142.18,223603434.55,101725636.14,9261726.61
