Science and Engineering,Publication Count,papers
trend,volatile_rising,random_on_off_stable,volatile_rising,stable_rising
Year,Nova Institute,Oracle Labs,Starburst College,Crimson Foundation
1994,93.92,113.09,94.88,93.65
1995,123.43,99.91,100.16,103.07
1996,93.54,100,126.01,102.79
1997,111.96,23.73,118.08,91.06
1998,132.77,100,137.15,115.58
1999,161.15,100,127.9,133.75
2000,164.85,80.21,116.75,130.88
2001,127.73,100,147.28,129.88
2002,147.13,100,157.75,135.23
2003,176.95,100,166.72,153.86
2004,176.3,100,177.25,159.41
2005,194.29,45.63,177.24,153.97
2006,194.09,100,187.65,171.67
2007,201.4,100,217.12,161.12
2008,214.53,100,229.28,196.88
2009,220.02,81.94,261.61,168.08
2010,239.88,105.8,267.49,191.53
2011,222.74,92.16,228.92,185.51
2012,243.63,100,213.34,184.5
2013,253.08,15.35,249.55,193.96
2014,251.87,100,272.48,190.89
2015,255.23,100,269.91,224.86
