Science and Engineering,Research Grants Awarded,$
trend,volatile_rising,random_on_off_stable,volatile_rising,random_on_off_stable
Year,Luminara Academy,Nova Institute,Crimson Foundation,Aether University
1951,1054805.1,1916081.09,1549358.71,2000000.0
1952,2403847.88,1956971.65,1939173.15,1684286.17
1953,2262342.11,2000000.0,2250688.68,2000000.0
1954,2180864.78,1390402.32,3032881.65,2000000.0
1955,2667130.05,2000000.0,2614580.2,2000000.0
1956,2496423.0,2000000.0,3646698.22,2000000.0
1957,2664676.24,2218097.42,2528271.34,2000000.0
1958,2949731.41,2174226.43,4182324.42,1377373.03
1959,2813710.18,1359242.49,4147922.68,2000000.0
1960,2903686.18,2000000.0,3652090.28,2000000.0
1961,4157070.8,335483.03,3619625.75,2000000.0
1962,4064589.74,2000000.0,4032473.93,2000000.0
1963,4093478.36,2000000.0,3975945.28,1879174.05
1964,4121252.95,788130.21,4061325.2,2111531.46
1965,4543162.57,2000000.0,4215382.34,2000000.0
1966,4489243.46,2000000.0,5248405.75,1377846.79
1967,5064122.43,2049531.83,5764832.93,2000000.0
1968,4923913.28,2201692.1,4451763.74,2000000.0
1969,5582960.04,2099509.22,4497593.3,2000000.0
1970,4630986.25,2063537.73,4805997.21,2000000.0
