Agriculture and Food Production,Food Waste,tons
trend,stable_rising,random_on_off_stable,exponential_rising,random_on_off_rising,volatile_rising
Year,AgroChain Management,CropConnect Logistics,FarmGate Transit,TerraTrade Network,Verdant Distribution
1969,10079.28,10029.33,11081.04,10662.32,10262.49
1970,11273.53,10014.77,11139.23,10156.83,11323.91
1971,11058.49,10000,12452.18,10638.59,11870.27
1972,11687.36,9434.42,13087.01,10991.6,12797.87
1973,11925.88,10000,14451.18,11323.33,14325.17
1974,12212.19,10000,16226.56,5463.32,13847.64
1975,13262.05,10000,17557.19,100.0,15428.63
1976,13123.5,9564.31,20098.04,4041.63,15871.56
1977,14111.9,9868.25,21076.88,13365.75,14399.6
1978,13470.26,9718.79,23435.47,14024.87,17258.78
