Cultural Trends and Influences,Cinema Attendance,tickets
trend,stable_rising,volatile_rising,stable_rising
Year,Starlight Studios,Silver Screen Sanctuary,Zenith Multiplex
2003,2107990.1,1954456.48,2079461.8
2004,2142805.43,1618412.54,2213721.59
2005,2087921.74,2568474.66,2016688.37
2006,2304011.91,2155191.17,2431040.22
2007,2491033.62,2340474.77,2411884.32
2008,2176821.03,2907827.54,2678371.38
2009,2848586.55,2964092.02,2928888.21
2010,2915733.42,2903440.34,2984307.96
2011,2648348.89,3193949.43,2554694.85
2012,3230924.95,3255222.49,2954654.84
