Healthcare and Health,Average Treatment Cost,$
Year,Emergency Procedure,Chronic Care Program,Specialist Surgery,Preventative Screening
trend,stable_rising,stable_falling,exponential_rising,volatile_rising
1960,4444.82,4978.1,5974.4,4446.29
1961,5122.2,5798.23,4778.7,5721.83
1962,5696.21,4908.28,5991.35,6045.79
1963,5793.12,5579.06,6057.55,6534.28
1964,6798.78,6103.75,6747.34,7823.76
1965,5712.77,5829.86,8731.27,7498.4
1966,6339.54,5764.14,10097.11,8543.95
1967,7142.29,6099.15,10387.36,8599.62
1968,6712.35,5820.94,10719.54,9046.27
1969,7076.32,6657.42,11996.56,8618.31
1970,7512.56,6627.49,13015.45,10199.69
