Education and Academics,Faculty Satisfaction,%
trend,exponential_rising,volatile_rising,volatile_falling,random_on_off_rising,stable_rising,random_on_off_stable,exponential_rising
Year,Aethelgard School of Arts,Meridian Academy,Borealis Graduate School,Arcane University,Celestial College,Zenith Institute of Technology,Silverhaven Polytechnic
1978,73.08,75.44,76.2,74.98,74.18,78.05,75.05
1979,87.87,80.41,68.56,79.06,82.64,75,81.54
1980,93.39,91.62,60.73,77.12,80.5,56.35,94.18
1981,100,94.72,68.28,81.84,90.71,75,96.39
1982,100,100,56.08,46.88,91.57,75,100
1983,100,100,59.9,0.75,92.89,75,100
1984,100,100,46.01,0.75,99.09,75,100
1985,100,100,43.9,23.77,100,69.23,100
1986,100,100,42.04,96.59,100,75,100
1987,100,100,30.71,98.45,100,75,100
1988,100,100,38.35,42.89,100,75,100
1989,100,100,24.6,0.75,100,72.72,100
