Sports and Entertainment,TV Ratings,million viewers
trend,exponential_falling,volatile_falling,stable_rising,stable_rising,exponential_rising,volatile_rising
Year,Oracle Stream,Crimson Vision,Starburst Cable,Luminara TV,Nova Broadcast,Echo Sports Network
1968,5.46,5.24,5.05,4.5,5.02,5.24
1969,4.47,5.09,5.24,5.32,5.77,4.93
1970,4.55,3.97,5.13,5.36,5.42,6.34
1971,3.87,4.4,6.39,5.48,6.7,6.25
1972,3.12,3.64,5.19,5.86,7.23,6.21
1973,2.42,3.47,5.46,5.62,7.76,5.92
1974,3.46,3.79,6.47,6.83,9.51,6.65
1975,2.6,3.2,7.14,6.83,8.83,8.61
1976,2.25,1.6,6.64,7.62,10.76,7.52
1977,2.48,2.19,7.46,6.96,11.08,8.01
