Food and Beverage Industry,Table Turnover Rate,tables/hour
Year,The Golden Spoon,Emerald Diner,The Cozy Nook,Sky High Cafe
trend,exponential_falling,exponential_falling,periodic_stable,exponential_rising
1993,1.78,1.95,1.99,1.89
1994,1.81,2.0,2.45,2.0
1995,1.61,1.51,2.31,2.45
1996,1.37,1.38,1.69,2.75
1997,1.33,1.34,1.47,2.93
1998,1.25,1.17,2.06,3.16
1999,1.18,0.93,2.46,3.44
2000,0.99,0.8,2.28,3.93
2001,0.9,0.98,1.74,4.32
2002,0.82,0.73,1.51,4.85
2003,0.77,0.82,2.02,5.18
2004,0.74,0.47,2.47,5.83
2005,0.66,0.51,2.27,6.31
2006,0.51,0.53,1.69,6.69
2007,0.51,0.48,1.54,7.67
