Healthcare and Health,Vaccination Rate,%
trend,random_on_off_stable,random_on_off_stable,stable_falling,random_on_off_stable,random_on_off_rising
Year,Crimson Quarter,Verdant Ward,Sector Beta,Azure Enclave,Outer Rim Settlements
1985,75.38,74.87,74.6,73.11,77.86
1986,77.45,75,78.08,74.23,76.67
1987,78.16,52.02,80.57,73.79,83.34
1988,75,75,84.06,75,82.01
1989,42.36,75,86.08,38.81,62.0
1990,75,75,85.55,75,2.74
1991,75,75,86.67,75,22.25
1992,75,75,90.11,75,85.44
1993,42.25,37.84,92.86,75,98.79
1994,75,75,97.7,48.83,100
1995,75,75,96.81,75,100
1996,75,75.96,96.24,75,100
1997,75,72.16,99.84,75,44.2
1998,75,75,100,75,11.7
1999,41.7,65.97,100,52.44,86.89
2000,75,75,100,75,100
2001,75,75,100,75,100
2002,47.44,75,100,75,100
2003,75,75,100,75,100
2004,75,75,100,22.62,100
2005,75,36.31,100,75,100
2006,70.51,75,100,75,50.86
2007,75,75,100,75,0.75
2008,75,75,100,76.07,0.75
2009,75,75,100,75.01,72.01
