Food and Beverage Industry,Restaurant Sales,$
trend,exponential_falling,volatile_rising,exponential_rising,stable_rising
Year,Emerald Diner,The Cozy Nook,The Rusty Kettle,Crimson Plate
1982,85708458.85,115518334.56,108354281.72,104497049.76
1983,89820021.27,90249996.93,103131162.29,104744427.44
1984,72379160.23,117358325.24,101304061.99,113299253.85
1985,71377723.57,110784730.41,126239642.52,135183840.47
1986,77490765.32,127956090.32,135531727.56,129763916.94
1987,41519756.65,108375730.67,159604272.84,110585040.88
1988,50483984.59,144238098.44,189147132.09,128054040.07
1989,58456632.07,170929257.28,205938401.86,154614983.54
1990,48587313.05,135571281.86,214422699.35,140716439.59
1991,44836937.38,178682214.89,252807413.7,131099097.17
1992,49191197.47,200740367.41,265404369.23,159887951.76
1993,22554356.98,186084230.37,285314279.39,158256025.23
1994,23088142.85,180486661.03,310130776.23,154886759.86
1995,22761880.21,197236019.21,369711219.19,165889426.65
1996,14532002.74,224210160.76,372426625.47,175042607.67
1997,1000000.0,225193299.87,416779152.8,177626894.11
1998,10136975.55,236513775.08,465611135.43,175173531.22
1999,16816503.54,235758760.48,493709330.79,187839488.4
2000,18487537.6,213428659.57,574817706.76,165810636.71
2001,18074221.28,239187013.45,598601614.23,192566001.25
2002,1000000.0,237948566.17,658663006.22,198631062.41
2003,21817035.53,259714176.68,733818423.87,208968111.78
2004,2147725.89,269736693.59,816568494.56,197205462.45
2005,1000000.0,290937237.02,902786122.18,197957335.05
2006,10053686.08,287472568.22,985602733.27,213387472.76
2007,19432993.21,291550590.26,1073556694.21,205571693.62
2008,4873375.17,310392009.46,1186069739.48,237460613.87
2009,8617028.1,312871519.26,1320673027.73,230953548.11
2010,20084117.85,307021331.12,1428708772.93,246166347.58
