Real Estate and Housing Market,Housing Affordability Index,index
Year,Silverwood Forest,Sunstone Desert,Veridian Plains
trend,exponential_falling,volatile_rising,stable_rising
1999,89.35,119.14,93.64
2000,92.1,121.41,110.75
2001,86.91,119.26,113.6
2002,82.03,119.35,117.54
2003,75.39,144.66,119.51
2004,56.43,146.85,128.46
2005,53.29,168.36,129.76
2006,53.39,188.12,137.27
2007,43.32,164.48,134.09
2008,39.68,187.94,142.59
2009,25.53,149.21,148.26
2010,28.04,191.74,153.9
2011,25.46,172.63,156.91
2012,17.41,182.06,170.33
2013,25.43,211.57,172.89
2014,17.64,209.61,177.99
2015,19.8,244.05,178.17
2016,20.43,242.83,177.39
2017,11.2,219.2,199.69
2018,18.19,244.78,186.02
