Agriculture and Food Production,Crop Yield,tons/hectare
trend,random_on_off_rising,random_on_off_rising
Year,Golden Harvest Cooperative,Ironwood Ranch
1976,107896.45,111134.95
1977,104653.55,104037.05
1978,103477.49,110735.13
1979,79986.0,83513.32
1980,1000.0,15952.0
1981,1000.0,47685.2
1982,1000.0,120783.64
1983,1000.0,128713.24
1984,46248.7,127735.96
1985,123068.42,136258.96
1986,143271.74,131548.13
1987,39799.31,142803.32
1988,36824.23,49872.07
1989,141284.23,1000.0
1990,156152.04,1000.0
1991,47172.5,1000.0
1992,18459.45,61670.74
1993,131259.68,162398.36
1994,177770.23,173695.15
1995,170003.29,180795.97
1996,186989.65,181762.25
1997,151455.12,191195.12
1998,31073.66,184486.67
1999,62951.0,95895.71
2000,202003.28,1000.0
2001,196897.64,1000.0
2002,211598.09,1000.0
2003,211140.35,112562.85
2004,212587.13,209731.73
2005,228297.04,211602.48
