Agriculture and Food Production,Water Usage,cubic meters
trend,random_on_off_rising,periodic_stable,stable_rising,exponential_falling,stable_falling
Year,Riverbend Plantation,Misty Meadow Acres,Ironwood Ranch,Golden Harvest Cooperative,Whispering Willows Estate
1987,1935429.5,1950707.12,1957442.55,1841340.71,2144409.6
1988,2127653.89,2495966.26,2071637.83,1655524.91,2238439.75
1989,2317513.04,2335593.01,2365518.08,1514741.78,2116191.38
1990,1496359.52,1747625.19,2132270.45,1389097.64,2157382.69
1991,89830.56,1521240.13,2453692.26,1298645.16,2283196.59
1992,20000.0,1963306.85,2425407.66,1171873.49,2311428.95
1993,861191.91,2495610.61,2414570.72,1080354.0,2313215.98
1994,2650167.87,2211239.4,2898782.97,1039804.83,2377895.51
1995,2653130.2,1788682.78,2703910.79,935144.94,2616662.21
1996,2136928.28,1496143.61,2910237.99,725208.14,2624445.45
1997,379342.17,1988761.24,3048810.22,690829.3,2526834.04
1998,1315863.96,2494730.01,2978042.25,723182.68,2675933.62
1999,2990985.57,2348072.87,3056424.99,530625.91,2651485.66
2000,2932829.44,1760597.35,3270182.73,342997.77,2689990.51
2001,3170578.59,1536915.12,3322760.43,579371.14,2914639.91
2002,2851568.21,1979015.83,3458672.47,331861.47,2503393.13
2003,1009408.71,2445374.31,3568773.76,353076.83,2756035.47
2004,20000.0,2329778.8,3691229.97,395406.08,3048244.12
2005,977783.6,1639979.24,3787037.23,383186.47,3099758.03
2006,3164887.73,1522686.7,3921365.92,223113.27,3076698.54
2007,3460040.74,1998727.46,4020643.93,115873.75,3209897.18
2008,3660286.21,2436092.15,4199322.67,332860.08,3251190.39
2009,3570445.76,2209715.29,4219965.38,188413.8,3349650.06
2010,3700963.42,1698812.23,4289090.68,181796.21,3478778.39
2011,1114741.02,1496595.09,4352005.64,69543.98,3671831.74
2012,1154482.22,1991403.56,4564153.93,104259.47,3515009.87
2013,3742431.94,2440533.3,4347752.28,219885.9,3563415.7
2014,4162045.05,2217122.58,4692485.02,148889.82,3477298.0
2015,4313314.48,1679814.7,4726758.64,115757.36,3662671.54
