Healthcare and Health,Vaccination Rate,%
trend,volatile_rising,exponential_rising,exponential_falling,volatile_rising,stable_rising,exponential_falling,stable_rising
Year,District Alpha,Azure Enclave,Outer Rim Settlements,Sector Beta,Crimson Quarter,Stellar City Core,Verdant Ward
1956,85.41,76.09,74.26,80.08,71.35,73.02,76.28
1957,76.04,86.12,69.0,91.97,80.32,74.88,81.32
1958,90.45,90.28,57.78,94.39,82.29,63.51,83.88
1959,97.83,100,49.68,93.35,85.6,58.19,86.15
1960,100,100,53.03,98.48,92.94,50.28,89.55
1961,98.28,100,44.39,100,93.54,46.55,90.98
1962,100,100,38.34,100,99.76,42.11,98.89
1963,97.84,100,32.7,100,100,33.93,100
1964,100,100,31.12,100,100,39.61,100
1965,100,100,31.57,100,100,26.39,100
1966,100,100,24.4,100,100,21.42,100
1967,100,100,24.48,100,100,25.84,100
1968,100,100,16.42,100,100,18.16,100
1969,100,100,19.51,100,100,19.86,100
1970,100,100,20.95,100,100,21.55,100
