Agriculture and Food Production,Food Waste,tons
trend,volatile_falling,stable_rising,volatile_falling,stable_rising,stable_falling
Year,AgroChain Management,FarmGate Transit,Verdant Distribution,TerraTrade Network,AgriFlow Solutions
1959,10718.07,9356.53,9230.98,10185.07,9787.99
1960,8471.98,10791.9,9800.48,10582.29,10101.74
1961,9028.05,11560.67,9890.57,11017.09,10998.79
1962,6335.5,11390.78,7900.3,11614.63,11200.27
1963,8660.17,11923.92,7408.39,11174.59,11070.9
1964,7169.38,12521.11,7654.39,12227.57,11498.13
1965,8215.53,13067.56,6788.31,12971.85,11433.1
1966,6833.81,13204.22,5315.83,13084.93,11501.02
1967,3937.54,14304.86,5100.68,13287.6,11805.82
1968,4759.27,14523.44,4999.8,14848.55,12877.18
1969,3267.01,14951.88,4373.19,14954.59,12924.46
1970,3196.95,15584.3,4754.04,15900.17,13180.47
1971,3210.09,16607.45,3638.54,16244.66,14184.18
1972,4745.07,16454.47,4207.49,17150.03,13332.99
1973,336.92,17356.13,2743.66,17330.89,14987.54
1974,805.32,17398.01,3021.8,17826.25,14565.7
1975,1660.81,17837.68,100.0,18042.05,14725.02
1976,100.0,18500.11,100.0,18549.9,15299.86
1977,100.0,18914.26,100.0,19097.71,15694.7
1978,100.0,19194.7,100.0,19397.17,15059.37
1979,100.0,20029.27,100.0,20693.29,15653.09
1980,100.0,20444.12,100.0,21183.84,16461.25
1981,100.0,21137.91,100.0,20755.48,15839.03
