Science and Engineering,Patent Applications,applications
Year,Crimson Group,Oracle Systems,Luminara Solutions,Starburst Enterprises,Aether Corp
trend,exponential_falling,volatile_rising,stable_rising,volatile_rising,stable_falling
1953,4924.25,6827.19,4411.95,6418.03,4877.86
1954,3926.55,6964.68,4104.27,3161.72,5090.44
1955,4561.04,7570.28,5352.27,6275.28,5487.54
1956,2681.56,5727.86,4946.32,7611.35,5579.94
1957,3435.35,7442.07,5685.97,3797.52,6154.54
1958,3539.55,6273.96,5190.31,3491.41,6626.4
1959,2039.77,4969.5,7657.22,4622.35,5486.55
1960,3123.66,6517.09,7376.48,5744.65,5051.16
1961,1441.25,8540.09,7333.17,8385.51,5951.44
1962,1886.98,9581.25,6901.27,6575.09,6951.13
1963,2156.24,6705.41,6029.54,10402.53,7253.52
1964,2360.42,10335.85,7829.48,7952.08,6305.69
1965,50.0,9364.58,8445.58,9967.89,6960.11
1966,50.0,11551.59,8250.3,13207.4,7690.42
1967,1064.15,12284.5,8973.92,9288.48,6177.67
1968,1229.75,11243.08,7863.67,11391.85,6986.97
1969,1260.45,11611.54,9072.79,9895.06,6794.44
1970,832.56,12163.46,7637.06,14431.39,8420.77
1971,50.0,11083.03,8463.8,13190.94,8215.63
1972,50.0,9397.83,9736.53,13524.33,7240.17
1973,2384.6,12043.86,10033.16,11615.49,8630.32
1974,50.0,12673.27,9218.46,13937.38,8501.16
1975,463.85,13245.25,10976.0,13105.69,8658.66
1976,50.0,16416.78,11107.42,13874.21,8901.24
1977,50.0,13791.23,12156.43,15875.25,7752.95
1978,2224.08,14616.95,11030.11,15338.91,8670.26
1979,384.29,14392.89,11044.88,19744.19,8800.75
1980,1044.43,11928.8,11595.74,19424.33,8368.11
