Science and Engineering,Publication Count,papers
trend,volatile_falling,exponential_rising,stable_falling,volatile_rising
Year,Aether University,Luminara Academy,Crimson Foundation,Nova Institute
1994,91.85,116.06,91.17,100.61
1995,94.55,118.31,127.03,99.17
1996,114.99,99.9,118.86,128.37
1997,85.26,127.13,108.45,140.19
1998,73.38,139.08,103.88,124.0
1999,38.2,156.48,108.47,144.05
2000,35.32,154.0,127.9,129.29
2001,67.94,204.24,120.95,153.0
2002,57.36,206.38,118.31,187.6
2003,47.38,256.41,127.79,188.47
2004,44.19,265.72,132.94,162.76
2005,43.23,289.43,134.37,225.72
2006,14.9,306.08,132.34,180.28
2007,15.36,347.73,130.57,208.64
2008,11.55,381.81,155.12,177.47
2009,27.5,422.25,136.53,213.75
2010,22.67,453.14,156.76,232.98
