Transportation and Logistics,Driver Satisfaction,index
trend,volatile_falling,volatile_rising,exponential_rising,random_on_off_stable,stable_rising,volatile_rising,random_on_off_stable
Year,Last-Mile Couriers,Long-Haul Operators,International Routes,Freight Train,Night Shift,Drone Pilots,Hazardous Material
1997,69.87,47.81,91.62,78,82.36,74.8,78
1998,66.85,106.95,85.62,40.53,84.6,87.37,56.05
1999,73.65,100.28,105.58,78,87.4,75.38,78
2000,62.09,89.14,101.77,78,82.26,95.58,78
2001,53.96,79.62,118.32,78,90.41,95.24,78
2002,56.52,107.68,132.66,72.6,107.2,111.05,78
2003,33.01,122.58,135.3,80.38,92.76,101.44,66.68
2004,34.1,129.74,151.92,78,119.49,122.63,78
2005,21.56,113.97,171.31,79.15,109.83,134.23,78
2006,49.58,124.13,191.85,78,118.29,150.94,78
2007,36.03,150.02,197.25,78,110.54,134.68,78
2008,24.54,145.28,226.78,78,120.02,141.17,72.93
2009,14.92,148.55,241.28,78,133.42,160.96,77.82
2010,14.87,157.47,269.72,73.7,141.14,144.98,88.23
2011,24.29,160.34,301.44,78,146.45,173.04,78
2012,0.78,183.63,318.32,79.83,137.9,193.0,22.12
2013,0.78,200.86,355.7,78,140.16,196.15,78
2014,0.78,185.72,397.34,78,142.03,185.32,78
2015,0.78,205.37,455.41,78,143.62,180.1,81.84
