Sports and Entertainment,Streaming Views,views/month
trend,volatile_falling,stable_rising,stable_rising,volatile_rising,stable_rising,exponential_falling,periodic_stable
Year,CrimsonCast,StarburstTV,NovaStream Live,EchoWave Entertainment,OracleView,AetherNet Sports,Luminara Play
1980,200978.55,143711.93,200190.99,175135.66,164634.51,138827.78,191879.49
1981,213206.67,164562.05,210249.05,211325.37,124996.1,192252.39,253570.54
1982,295034.28,258640.61,207543.82,163276.62,245585.78,203764.66,222127.73
1983,151425.4,215964.58,228939.48,305994.93,289599.47,133896.5,185276.29
1984,147908.56,217475.82,205172.01,271576.84,234637.73,104269.17,161076.98
1985,206607.21,256332.89,241045.63,254711.42,284317.67,185274.56,209561.74
1986,125722.8,267047.73,323773.01,299745.85,178873.93,37302.56,263814.05
1987,90105.58,263913.11,246210.56,345277.84,208679.18,130674.76,240340.34
1988,92421.89,263263.29,307441.05,377466.2,264991.09,77604.63,191145.56
1989,2000.0,342964.36,221757.82,263526.01,302618.23,8876.07,194037.34
1990,80490.49,283563.05,343069.53,352258.65,235023.52,55534.37,220352.3
1991,41021.56,324527.28,336921.19,360024.84,259561.69,102732.93,232763.01
1992,78805.46,353165.61,304424.7,365842.02,297339.83,96860.09,216126.4
1993,32244.38,323739.43,421978.53,366530.89,269180.25,71034.55,194345.77
1994,113956.18,410364.12,415298.91,467316.37,381844.95,57269.59,132071.47
