Science and Engineering,Research Grants Awarded,$
trend,stable_rising,stable_rising,stable_falling
Year,Oracle Labs,Starburst College,Luminara Academy
1961,1760300.76,1997321.58,1399742.51
1962,2029886.74,2345812.19,2198279.95
1963,2074439.87,2375122.06,1896815.87
1964,2113773.45,2464705.71,1623836.13
1965,2814972.01,2380615.22,2655536.15
1966,2761822.83,2591925.67,2665685.18
1967,2728956.84,2694440.56,2340611.64
1968,2623932.75,2576925.94,2607971.1
1969,2473104.03,3091434.69,2789158.45
1970,2728915.59,2916036.59,2268479.51
1971,3228108.33,3190763.6,2414771.06
1972,3129709.69,2879273.48,2207056.56
1973,2795680.33,3281523.43,2726089.0
1974,3139258.82,3320887.6,2944735.42
1975,2827816.21,3116835.1,3079292.82
1976,3569417.36,3254493.41,3482177.87
1977,3143748.68,3320021.17,2662714.27
1978,3375222.15,3214841.83,2999591.04
1979,3787658.28,3272020.42,2993758.97
1980,3683351.38,4122483.63,3010540.17
1981,4213879.72,3471104.47,3147052.21
1982,4096149.9,4267340.32,3317939.37
