Sports and Entertainment,Stadium Attendance,tickets/session
Year,Ironwood Classic,Starfall Championship,Echo Bowl,Aether Cup Finals,Silverleaf Open,Nova Games
trend,volatile_falling,periodic_stable,stable_falling,stable_rising,periodic_stable,volatile_rising
2005,46303.59,47830.37,43190.01,58685.07,51698.05,41098.99
2006,32769.52,52297.97,49027.77,53151.06,53870.33,67746.0
2007,26946.04,47616.79,54533.01,48373.57,48796.57,56469.02
2008,47191.98,47369.58,54680.03,59019.47,41724.71,69156.99
2009,9725.04,49747.37,64380.76,54130.75,52599.52,72001.42
2010,42502.74,55802.37,51298.11,64851.65,55176.69,59428.51
2011,28538.63,52575.85,60625.27,70673.08,49733.89,47458.17
2012,28181.74,42666.02,64227.49,66500.98,44030.17,89112.51
2013,29240.48,48980.85,61280.79,71824.49,49017.17,40535.51
2014,26302.69,52486.05,69263.12,68752.84,56880.48,102816.52
2015,13731.39,44499.04,64053.85,77882.4,49701.23,76382.27
2016,34987.64,47617.8,69630.89,76596.66,44254.92,94424.27
2017,6979.47,49124.42,61774.51,84112.31,48613.96,116984.34
