Social Media and Digital Media and Streaming,Platform Traffic,visits/month
Year,EchoWave,NovaStream,Starburst Online,OracleFeed,Luminara,CrimsonLink
trend,exponential_rising,volatile_falling,exponential_falling,periodic_stable,exponential_falling,stable_falling
1991,3797164623.64,1543360055.46,8499576268.37,4679215938.66,50000000.0,5881743447.39
1992,9858714109.47,3369396901.41,2944313380.48,6078613423.45,1562107966.41,3547751839.72
1993,5537701040.37,50000000.0,3228201701.37,5373106365.51,1661301521.22,3050341445.04
1994,7758157058.39,1333177720.98,5555545548.28,4593801421.05,5847011237.1,3861931799.26
1995,7859421480.34,6754973592.41,7508118866.13,4065804615.59,6185736912.88,4660960667.57
1996,4816351963.87,50000000.0,139381915.68,4770525197.31,3767621505.62,5987913811.87
1997,10231771228.02,50000000.0,1637646188.39,6150630379.52,2194584713.77,5890368212.1
1998,8521087210.34,5346196830.45,2593629633.78,6816156972.4,4272455509.73,6547011398.53
1999,12277182279.13,50000000.0,5228102455.41,4907608978.39,74049760.46,6503396647.96
2000,10975770631.78,7186085200.48,50000000.0,3828544966.48,5928607068.13,4861486701.23
2001,9187245733.03,4832572509.32,50000000.0,4818566047.63,50000000.0,4298635793.86
2002,14112951720.79,5358927106.4,50000000.0,5762752440.47,2178516035.49,7885159036.07
2003,17637345772.84,1854990966.36,50000000.0,5776499098.99,4601171879.09,6462753375.63
2004,13679765488.23,4221793150.5,1988214670.42,4253979324.49,203005836.13,9331650190.78
2005,20117994183.64,50000000.0,779986335.89,4039786991.79,50000000.0,7656852387.52
2006,21452040518.29,1983234416.59,1436085864.33,4023699704.72,2143797526.4,6165600714.07
2007,24049908845.19,50000000.0,298575045.97,6412021195.22,1055980998.47,7030424267.64
2008,25285990966.53,1015360461.51,185793026.78,6655892138.29,50000000.0,6867232738.75
2009,25595036866.02,50000000.0,5172220625.63,4075164489.74,843601685.84,9596339184.03
