Social Media and Digital Media and Streaming,Daily Active Users,users
trend,random_on_off_rising,volatile_falling,stable_rising,volatile_rising,stable_rising,random_on_off_rising
Year,Luminara,AetherNet,NovaStream,OracleFeed,CrimsonLink,EchoWave
1958,1165318900.89,1265025549.6,995959996.96,1198663793.56,1058627270.49,1185905130.67
1959,983124098.43,942427698.16,825752380.36,1160121064.2,774577877.12,1183112317.51
1960,971681215.84,736873804.42,1108457228.07,1510280555.38,1306306355.88,1214345084.19
1961,68099300.85,1245541895.38,1097570850.69,1027906311.4,700411919.68,826134841.03
1962,10000000.0,1130600664.43,1166773794.76,1344080259.83,1175410095.88,408816916.31
1963,10000000.0,553233014.31,1230071955.37,1150399471.2,1483914454.48,272475058.23
1964,234111702.61,340770197.61,1284811861.86,1733830626.76,1144169688.8,1242221001.68
1965,1273965279.82,673643838.51,1067946842.33,1570534516.25,1193521967.53,1386256828.93
1966,1854066587.4,10000000.0,1366433468.31,1610102528.7,1261586343.4,1433415099.69
1967,1297162080.26,655493730.44,1256074253.45,1265040848.08,1575764415.99,925988911.72
1968,728809505.07,266089212.83,1392346285.55,1690374248.4,1403572636.81,10000000.0
1969,10000000.0,10000000.0,1934192435.87,2594392559.17,1817738276.07,10000000.0
1970,763514359.05,10000000.0,1870516515.03,1685399575.1,1791194737.24,848187628.23
1971,1442752180.8,147177709.07,1560900887.76,1972474461.15,1711710209.86,1292972664.71
1972,1666792741.77,10000000.0,1651190472.84,2374167332.78,1655030513.0,1945428292.01
1973,379441836.6,51804962.5,1724325605.44,2242804291.07,1620663718.74,1400176635.83
1974,799368239.21,10000000.0,1757917517.33,2670248244.33,1515811492.11,1662261255.64
1975,1955544686.49,10000000.0,1942585293.45,2911655101.08,1743045469.71,1759390041.12
1976,1536646196.35,228695754.93,1700601891.56,2366483146.81,1920761397.55,1864671803.06
1977,588805339.18,24513726.36,1530438969.75,2374766124.3,2348346322.08,1484120176.51
1978,10000000.0,387145721.11,1904756421.86,2451045528.21,2324493761.13,1162529917.77
1979,10000000.0,10000000.0,2418960627.9,2734135886.9,2239571821.66,10000000.0
1980,930177863.22,10000000.0,2051699882.72,3024129770.3,1917438329.92,10000000.0
1981,1970600251.58,51077749.78,1952016534.22,3101588306.84,1650999963.32,1188653206.12
1982,1657929426.04,10000000.0,2599693359.47,3081697524.37,2154890815.9,1842908739.43
1983,1544844505.75,10000000.0,2360587479.82,2635999823.07,2327276486.42,1913332148.7
1984,10000000.0,10000000.0,2463085446.31,3043998261.45,2478673382.54,10000000.0
1985,680380732.22,10000000.0,2610595373.41,3006840798.04,2242836060.07,858868129.81
1986,1980019832.53,10000000.0,2617101748.32,2928435502.33,2358765057.37,2197093659.58
