Tourism and Hospitality,Tourist Attraction Visits,visitors
Year,Crystal Caves,Historic Forts,Art Museums
trend,volatile_rising,periodic_stable,stable_falling
1952,27406.31,53379.0,69615.63
1953,57907.82,64279.09,49714.24
1954,65434.21,56015.11,68968.47
1955,106443.96,43167.36,53909.15
1956,71967.62,40705.7,63955.88
1957,87615.86,48631.65,68284.38
1958,22293.54,57558.42,50697.57
1959,36706.01,62227.84,67709.83
1960,143678.61,51831.37,56255.65
1961,41068.13,46988.25,52411.75
1962,62154.84,57985.32,71289.38
1963,99447.22,59899.47,63673.58
