Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,exponential_rising,exponential_rising,random_on_off_stable,random_on_off_rising
Year,OracleFeed,CrimsonLink,Luminara,EchoWave
1980,185580773.03,188421238.07,204721029.94,178789917.13
1981,243012125.26,273249101.04,181943550.82,103413400.51
1982,223090410.42,283007661.66,207491798.98,219711702.44
1983,285945840.76,221491399.16,226848225.89,288639356.4
1984,342491078.46,315490498.84,200000000.0,207110459.37
1985,367386697.63,351789796.98,18877611.75,2000000.0
1986,346161639.31,295187648.98,200000000.0,2000000.0
1987,398664253.31,363353649.06,200000000.0,2000000.0
1988,326495448.43,466037295.18,200000000.0,56922284.3
1989,498410485.72,479258998.08,200000000.0,181324605.59
1990,451741226.74,525279422.42,60516738.9,352967505.93
1991,556631687.39,479385078.57,200000000.0,197129433.7
1992,575928677.86,612461959.21,200000000.0,2000000.0
1993,685524640.68,662765350.63,200000000.0,2000000.0
1994,772226322.87,687258547.1,203038457.97,2000000.0
1995,952879546.05,834013104.16,200000000.0,2000000.0
1996,887252838.05,927169040.17,200000000.0,325631987.66
1997,1003359440.97,1041715197.96,200000000.0,362550144.91
1998,1152577151.91,1070784947.7,163558739.75,234728228.63
1999,1200651692.56,1224239957.3,200000000.0,2000000.0
2000,1358558505.81,1300103970.28,200000000.0,314851337.1
2001,1493952014.63,1445587910.76,200000000.0,351486925.4
2002,1652245170.08,1620122377.51,218243093.7,386649774.86
2003,1824292635.78,1762001130.57,200000000.0,392509721.71
2004,1933014944.03,1969106752.02,200000000.0,393117296.3
2005,2152082162.48,2144686931.71,200000000.0,387367008.56
2006,2496226548.35,2359140711.58,242201755.29,299802311.3
