Food and Beverage Industry,Food Cost Percentage,%
trend,volatile_falling,periodic_stable,random_on_off_rising
Year,Emerald Diner,Sky High Cafe,Stellar Bistro
1966,29.41,29.78,28.34
1967,29.04,36.2,18.92
1968,26.87,35.34,0.3
1969,23.88,25.13,0.3
1970,23.46,23.42,20.78
1971,20.44,28.37,35.64
1972,21.27,37.03,36.91
1973,19.29,35.59,36.82
1974,16.4,26.4,19.83
1975,14.83,21.91,0.3
1976,11.89,29.52,0.3
1977,11.96,35.94,2.56
1978,7.08,34.74,32.08
1979,5.75,24.76,44.25
1980,3.56,23.09,30.14
1981,3.8,28.7,0.3
1982,0.3,36.83,0.3
1983,0.3,34.89,0.3
1984,0.3,25.2,0.3
1985,0.3,24.0,16.52
1986,0.3,29.72,54.02
1987,0.3,37.36,57.59
1988,0.3,35.01,21.64
1989,0.3,26.77,0.3
