Sports and Entertainment,Social Media Followers,followers
trend,stable_rising,stable_rising,periodic_stable,volatile_falling,random_on_off_rising,volatile_rising
Year,@ApexAthletics,@NovaGamesLive,@AetherNetSports,@IronwoodInvincibles,@LuminaraPlay,@StarburstTV
1974,8800574.69,10511403.09,10266670.63,8706369.39,11135920.71,12028284.56
1975,8044580.86,10053169.74,10974844.22,14075363.32,8898062.4,12368325.97
1976,10487660.61,11950682.17,13719186.51,7968393.85,10025350.26,10355988.06
1977,11447379.02,11424701.27,7465511.89,11646186.19,7065690.64,9927089.61
1978,12713560.36,12463414.72,9606882.75,8482210.42,100000.0,15497726.13
1979,13629929.99,13680405.58,11026761.83,6746289.06,100000.0,9711573.13
1980,13658793.15,11523269.27,12224110.4,6805198.41,7261753.36,15541708.44
1981,15108921.28,8185329.81,9731894.72,8934419.35,9733420.03,11294421.47
1982,15196661.16,15190161.28,8825027.27,6083209.12,13310866.13,14865737.18
1983,14375389.52,13828639.61,8940294.8,7067861.06,11823629.27,19725206.93
1984,13903623.79,14618193.74,10103989.31,2643071.61,6310514.15,17018027.58
1985,15400725.74,15700319.05,13205931.1,5162232.92,100000.0,21345846.42
1986,15807155.34,12642861.76,12464066.01,100000.0,100000.0,15734678.87
1987,17406493.84,16697472.37,9579951.65,3307732.51,2104326.62,20973335.34
