Healthcare and Health,Healthcare Expenditure,$
trend,periodic_stable,stable_rising
Year,Azure Health Initiative,Borealis Wellness Council
1994,979371805.13,1068392285.95
1995,1225783987.79,1213638486.62
1996,1068757656.74,1001169863.23
1997,810458219.29,1079260773.86
1998,769274273.52,1191189312.86
1999,947289108.47,1308127628.99
2000,1227411478.1,1437220156.99
2001,1206783126.14,1594350926.17
2002,740363657.16,1215951078.68
2003,707962262.14,1370861721.32
2004,1010291524.21,1513985078.24
2005,1245925222.2,1531265109.35
2006,1204238710.34,1646004302.4
2007,941702283.79,1706002306.95
2008,829521427.55,1703023651.49
2009,956142139.76,1680589509.83
2010,1175148738.72,1696604804.11
2011,1139570829.02,1933752650.28
2012,759032844.68,1954733808.75
2013,820084939.59,2050085199.79
2014,956831536.38,2051673372.17
2015,1296457238.05,2046414140.43
2016,1160413728.66,2155773540.11
2017,915133168.57,2178514905.32
2018,755182176.17,2234515549.84
