Cultural Trends and Influences,Cinema Attendance,tickets
trend,exponential_falling,exponential_rising,periodic_stable,random_on_off_stable
Year,Aethelgard Film Palace,Starlight Studios,Silver Screen Sanctuary,Zenith Multiplex
1954,1964645.39,2107638.95,1974728.31,1981258.52
1955,1924836.0,2126687.55,2549503.62,2065484.58
1956,1174400.61,2503309.34,2280756.0,1944924.53
1957,1404509.66,2413093.4,1766295.45,2000000.0
1958,1421048.2,3051658.62,1540168.76,1039346.87
1959,1087033.31,3145339.9,1915668.12,2000000.0
1960,835668.0,3570722.59,2371129.42,2000000.0
1961,784651.12,4101218.73,2409762.53,2243945.52
1962,659939.79,3973648.92,1812774.89,2000000.0
1963,789545.12,4530016.88,1541503.72,803304.25
1964,749231.77,5147934.77,2089826.93,2000000.0
1965,594364.4,5583076.61,2388260.21,2000000.0
1966,379596.93,6266350.83,2332406.53,2000000.0
1967,568677.61,6791595.58,1638103.64,2000000.0
1968,266084.84,7642172.17,1604653.56,2000000.0
1969,566449.84,8310981.55,1957618.43,90019.61
1970,318543.41,9100815.69,2462866.75,2000000.0
1971,263134.46,10032568.68,2370672.8,2000000.0
1972,164424.58,11225217.92,1622099.38,2000000.0
1973,272994.41,12199132.11,1522560.07,1883499.58
1974,212126.01,13633636.2,1828766.98,2000000.0
1975,26841.88,14841284.45,2568342.81,796508.31
1976,20000.0,15932089.74,2191831.93,2000000.0
1977,132893.33,17827750.32,1674133.87,2000000.0
1978,31944.18,19620400.46,1541719.34,1903743.93
1979,239073.98,21609466.06,1972748.95,2139156.85
1980,214743.3,24087677.51,2407696.83,1965943.97
