Agriculture and Food Production,Crop Yield,tons/hectare
trend,periodic_stable,random_on_off_stable,exponential_rising,random_on_off_rising,exponential_falling,random_on_off_stable,random_on_off_stable
Year,Misty Meadow Acres,Golden Harvest Cooperative,Riverbend Plantation,Ironwood Ranch,Starfall Organics,Sunstone Farms,Whispering Willows Estate
1977,101270.49,113731.15,96315.04,85332.89,98088.03,92414.79,96652.69
1978,116939.89,92788.77,111613.51,106153.66,100711.14,100000,100000
1979,115291.22,88190.88,126615.2,113201.7,93970.29,100000,100000
1980,80682.17,100000,130959.08,105876.2,82969.09,100000,100000
1981,77594.2,70780.35,149631.03,79779.34,56159.97,100000,100000
1982,92041.79,100000,162786.22,6934.81,52987.0,26308.86,100000
1983,117511.79,100000,170633.74,1000.0,56633.37,100000,52122.23
1984,115595.4,100000,195314.46,8332.04,42680.26,100000,100000
1985,82238.6,100000,202610.03,90854.77,39564.46,30287.02,100000
1986,79981.23,104257.39,228129.53,144611.48,40716.96,100000,100000
1987,98299.9,96965.6,267058.43,89723.3,43792.78,100000,63588.36
1988,123492.18,99162.26,277555.16,1000.0,22667.83,79032.79,100000
1989,122021.91,100000,308383.79,1000.0,29505.86,100000,100000
1990,84006.18,35040.04,345795.6,48742.88,22572.91,100000,89388.13
1991,83578.93,100000,370521.24,154289.54,29764.96,101984.24,100000
1992,96563.19,100000,426123.85,160016.6,20017.82,93473.72,100000
1993,131927.3,100000,475582.63,166881.18,23289.86,100000,100000
1994,114410.59,100000,505718.14,158131.78,21449.87,75258.3,51890.38
