Social Media and Digital Media and Streaming,Ad Revenue,$
Year,OracleFeed,AetherNet,CrimsonLink,Luminara,Starburst Online
trend,volatile_rising,periodic_stable,exponential_falling,volatile_falling,volatile_falling
1974,5000000.0,510538607.56,622824463.37,490173782.41,724826504.04
1975,655235698.33,638929353.59,623308696.52,139479294.11,208282935.28
1976,688181067.58,643109543.03,425023770.51,400339573.55,934366850.87
1977,163044167.02,341121022.29,426644803.72,5000000.0,172634519.55
1978,437856815.63,315498445.4,273682121.86,451197577.85,5000000.0
1979,938122902.03,504722673.77,99738605.69,640748018.2,196191173.99
1980,486299497.24,698030733.42,336068255.63,473774462.3,64336239.82
1981,1376675861.54,606888609.34,220574149.84,5000000.0,152916750.66
1982,361705505.58,489474223.79,302969519.04,258582971.94,489045653.04
1983,1001877994.37,314355266.81,265389617.3,121821867.56,5000000.0
1984,796252410.59,434500709.1,67800331.27,5000000.0,460864581.5
1985,1569260974.53,619267594.11,58739863.31,520068255.12,138389975.77
1986,984996516.93,653399626.17,5000000.0,758413895.91,5000000.0
1987,842769434.46,402769954.83,40564569.93,448092060.35,5000000.0
1988,992204493.02,456672913.32,5000000.0,303883384.34,303250962.99
1989,1151095810.09,450284365.34,5000000.0,5000000.0,269926832.04
1990,1284694780.02,575990790.01,113226620.19,5000000.0,5000000.0
1991,1132357957.65,660476201.78,155386794.12,400550918.55,315962410.33
1992,794133690.45,495466575.69,93972662.52,5000000.0,409932644.59
1993,767879480.98,497791471.23,5000000.0,5000000.0,5000000.0
