Business and Finance,Market Share,%
Year,Aegis Corp,Vanguard Dynamics,Ironclad Ventures,Apex Systems,NovaTech Solutions
trend,exponential_falling,stable_falling,volatile_falling,volatile_rising,volatile_rising
1960,17.79,19.2,16.56,22.62,31.99
1961,23.86,21.27,21.28,21.61,29.76
1962,15.35,20.3,22.5,20.73,20.48
1963,14.92,22.51,17.42,23.43,23.62
1964,17.36,21.91,6.77,26.47,19.33
1965,11.43,23.7,11.34,22.93,33.48
1966,8.91,24.0,7.05,24.56,27.54
1967,10.56,21.78,9.7,27.65,22.14
1968,8.8,25.53,1.49,34.61,31.64
1969,9.54,25.03,0.85,33.81,40.53
1970,3.94,26.38,11.34,36.2,40.19
1971,5.15,24.38,9.25,34.58,30.7
1972,4.3,26.38,0.2,38.12,37.17
1973,9.35,28.63,8.67,42.29,36.54
1974,7.17,30.08,9.05,47.54,34.38
1975,2.14,29.77,7.19,48.11,45.21
1976,7.48,29.88,6.92,39.35,45.36
1977,0.93,31.18,0.2,42.93,48.78
1978,0.2,31.6,0.2,51.05,48.41
1979,3.46,31.45,1.54,55.79,54.53
1980,2.25,34.49,0.2,49.72,50.12
