Social Media and Digital Media and Streaming,Daily Active Users,users
trend,exponential_falling,random_on_off_rising
Year,NovaStream,Starburst Online
1998,1150223473.12,1498788531.81
1999,1087463268.14,886895170.19
2000,610833468.4,905234092.74
2001,698908291.93,456718298.11
2002,443336935.76,10000000.0
2003,629669318.34,95048841.82
2004,300689982.22,744302063.89
2005,439885810.33,1256166797.87
2006,598275121.27,1296965530.37
2007,232267640.79,1173969481.93
2008,168274348.45,1490607493.5
2009,523541849.19,982301665.11
2010,301365840.49,97578280.83
2011,279414772.63,10000000.0
2012,207044498.72,1008545663.7
2013,330994453.44,1681326435.43
2014,10000000.0,1667956383.58
2015,10000000.0,10000000.0
2016,10000000.0,10000000.0
2017,10000000.0,10000000.0
2018,343017271.88,10000000.0
2019,10000000.0,10000000.0
2020,10000000.0,1224763815.89
