Human Resources and Employee Management,Productivity Rate,units/hour
trend,volatile_falling,exponential_falling,exponential_rising,stable_falling,exponential_rising
Year,Operations Staff,Administrative Support,Management Team,Research & Development,Sales Team
1996,9.04,10.41,7.54,11.06,9.92
1997,10.64,8.5,10.44,10.39,10.33
1998,7.92,8.23,12.65,11.99,8.33
1999,5.63,7.43,12.58,11.77,13.74
2000,6.19,7.19,14.11,11.27,14.05
2001,7.91,7.66,15.96,12.09,16.01
2002,3.96,6.96,17.5,11.26,16.93
2003,7.03,4.12,20.45,11.66,17.6
2004,4.75,4.01,21.35,11.94,22.18
2005,6.81,3.03,24.84,13.85,22.13
2006,3.38,4.35,27.0,12.62,25.18
2007,1.23,3.2,29.24,12.99,28.81
2008,7.59,2.26,31.54,13.29,30.29
2009,1.41,0.96,33.93,13.91,33.49
2010,1.24,2.91,39.81,14.39,37.88
2011,0.1,1.87,41.62,14.53,42.5
2012,0.1,1.14,47.56,15.07,47.74
2013,0.82,0.77,50.07,15.76,49.66
2014,0.1,1.48,56.09,15.29,54.37
2015,0.1,1.72,62.44,16.81,62.34
2016,0.1,1.18,68.33,15.85,66.33
2017,0.1,0.1,74.89,16.07,75.03
2018,0.1,0.9,80.75,16.82,82.83
2019,0.1,2.33,88.28,16.98,89.66
2020,0.1,1.76,98.49,15.8,98.45
2021,0.1,0.1,107.62,18.71,109.98
2022,0.1,1.05,120.04,17.15,119.56
2023,0.1,0.19,132.05,17.58,129.71
2024,0.1,2.13,144.92,17.99,145.23
